[Name]
ExLev_MOIMODIPscatter_MOI-3

[Notes]
Results of MOI/MODIP experiments, MOI 10^-3

[Components]
time, Cviab, VOnlyRel, VTot, DTot, pT, pI, pTa, pIa, T, I, Ta, Ia

[Componentnotes]


[Values]
0.00e+00, 2.15e+06, NaN, NaN, NaN, 8.53e+01, 2.86e+00, 1.17e+01, 5.14e-02, 1.83e+06, 6.15e+04, 2.53e+05, 1.10e+03
2.00e+00, 2.01e+06, 0.00e+00, NaN, NaN, 8.97e+01, 1.45e+00, 8.75e+00, 1.27e-01, 1.80e+06, 2.91e+04, 1.76e+05, 2.55e+03
3.00e+00, NaN, 0.00e+00, 3.37e+05, NaN, 9.11e+01, 9.35e-01, 7.91e+00, 3.28e-02, NaN, NaN, NaN, NaN
4.50e+00, NaN, 0.00e+00, NaN, NaN, 9.09e+01, 1.94e+00, 7.00e+00, 1.22e-01, NaN, NaN, NaN, NaN
6.00e+00, 2.03e+06, 0.00e+00, NaN, NaN, 9.17e+01, 1.45e+00, 6.79e+00, 1.05e-01, 1.86e+06, 2.95e+04, 1.38e+05, 2.13e+03
9.00e+00, 2.09e+06, 1.16e+04, 3.32e+06, NaN, 7.44e+01, 1.67e+01, 8.64e+00, 2.89e-01, 1.55e+06, 3.49e+05, 1.81e+05, 6.03e+03
1.20e+01, 2.41e+06, 6.00e+04, 4.96e+07, NaN, 1.69e+00, 9.03e+01, 5.81e+00, 2.16e+00, 4.06e+04, 2.18e+06, 1.40e+05, 5.21e+04
1.60e+01, 2.61e+06, 4.00e+08, 3.27e+10, NaN, 3.09e-01, 6.66e+01, 1.07e+01, 2.24e+01, 8.06e+03, 1.74e+06, 2.79e+05, 5.85e+05
2.00e+01, 2.39e+06, 5.20e+08, 4.74e+10, NaN, 4.19e-01, 5.20e+01, 5.30e+00, 4.22e+01, 1.00e+04, 1.24e+06, 1.27e+05, 1.01e+06
2.60e+01, 8.40e+05, 3.20e+08, 5.71e+10, NaN, 4.75e-01, 6.00e+00, 2.04e+01, 7.32e+01, 3.99e+03, 5.04e+04, 1.71e+05, 6.15e+05
3.20e+01, 1.10e+05, 1.60e+08, 7.48e+10, NaN, 2.63e-01, 3.42e+00, 8.19e+00, 8.81e+01, 2.89e+02, 3.76e+03, 9.01e+03, 9.69e+04
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
