[Name]
ExLev_MOIMODIPscatter_MOI-3_MODIP-3

[Notes]
Results of MOI/MODIP experiments, MOI 10^-3, MODIP 10^-3

[Components]
time, Cviab, VOnlyRel, VTot, DTot, pT, pI, pTa, pIa, T, I, Ta, Ia

[Componentnotes]


[Values]
0.00e+00, 2.22e+06, NaN, NaN, NaN, 9.29e+01, 5.77e-01, 6.52e+00, 3.40e-02, 2.06e+06, 1.28e+04, 1.45e+05, 7.54e+02
2.00e+00, 1.86e+06, 0.00e+00, 1.07e+05, NaN, 9.33e+01, 1.72e-01, 6.55e+00, 0.00e+00, 1.73e+06, 3.21e+03, 1.22e+05, 0.00e+00
3.00e+00, NaN, 0.00e+00, NaN, NaN, 9.11e+01, 1.68e+00, 7.19e+00, 4.99e-02, NaN, NaN, NaN, NaN
4.50e+00, NaN, 0.00e+00, NaN, NaN, 9.30e+01, 9.41e-01, 6.00e+00, 1.78e-02, NaN, NaN, NaN, NaN
6.00e+00, 2.03e+06, 0.00e+00, NaN, NaN, 9.30e+01, 1.13e+00, 5.87e+00, 3.48e-02, 1.89e+06, 2.30e+04, 1.19e+05, 7.07e+02
9.00e+00, 2.11e+06, 3.20e+04, 4.54e+06, NaN, 8.17e+01, 1.04e+01, 7.70e+00, 1.99e-01, 1.72e+06, 2.20e+05, 1.62e+05, 4.19e+03
1.20e+01, 2.41e+06, 1.20e+05, 6.42e+07, NaN, 8.41e-01, 9.32e+01, 3.95e+00, 2.04e+00, 2.03e+04, 2.25e+06, 9.53e+04, 4.91e+04
1.60e+01, 2.47e+06, 3.20e+08, 2.43e+10, 4.28e+09, 8.18e-02, 8.42e+01, 3.09e+00, 1.26e+01, 2.02e+03, 2.08e+06, 7.64e+04, 3.12e+05
2.00e+01, 2.72e+06, 4.40e+08, 6.64e+10, 1.70e+10, 1.96e-01, 4.46e+01, 8.48e+00, 4.67e+01, 5.34e+03, 1.21e+06, 2.31e+05, 1.27e+06
2.60e+01, 9.70e+05, 2.40e+08, 9.37e+10, 1.89e+10, 3.13e-01, 9.06e+00, 7.87e+00, 8.27e+01, 3.04e+03, 8.79e+04, 7.63e+04, 8.03e+05
3.20e+01, 1.30e+05, 7.20e+07, 4.89e+10, 1.21e+10, 3.90e-01, 5.81e+00, 7.81e+00, 8.60e+01, 5.07e+02, 7.55e+03, 1.01e+04, 1.12e+05
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
