[Name]
ExLev_MOIMODIPscatter_MOI-3_MODIP3

[Notes]
Results of MOI/MODIP experiments, MOI 10^-3, MODIP 3

[Components]
time, Cviab, VOnlyRel, VTot, DTot, pT, pI, pTa, pIa, T, I, Ta, Ia

[Componentnotes]


[Values]
0.00e+00, 2.22e+06, NaN, NaN, NaN, 5.43e+00, 8.77e+01, 4.32e+00, 2.53e+00, 1.20e+05, 1.95e+06, 9.59e+04, 5.63e+04
2.00e+00, 1.89e+06, 0.00e+00, NaN, 6.96e+06, 3.17e-01, 9.33e+01, 3.15e+00, 3.20e+00, 5.99e+03, 1.76e+06, 5.95e+04, 6.05e+04
3.00e+00, NaN, 0.00e+00, NaN, 3.47e+07, 4.35e-01, 9.09e+01, 4.50e+00, 4.15e+00, NaN, NaN, NaN, NaN
4.50e+00, NaN, 0.00e+00, 8.16e+04, 2.82e+07, 7.92e-02, 9.42e+01, 2.54e+00, 3.15e+00, NaN, NaN, NaN, NaN
6.00e+00, 2.06e+06, 0.00e+00, NaN, 3.28e+07, 1.99e-01, 9.24e+01, 3.10e+00, 4.28e+00, 4.10e+03, 1.90e+06, 6.39e+04, 8.81e+04
9.00e+00, 2.06e+06, 0.00e+00, 2.08e+05, 2.69e+07, 4.77e-02, 9.23e+01, 2.27e+00, 5.37e+00, 9.82e+02, 1.90e+06, 4.68e+04, 1.11e+05
1.20e+01, 2.36e+06, 0.00e+00, NaN, 1.74e+07, 1.06e-01, 9.03e+01, 4.13e+00, 5.49e+00, 2.50e+03, 2.13e+06, 9.74e+04, 1.29e+05
1.60e+01, 2.67e+06, 0.00e+00, 1.11e+05, 2.87e+07, 3.45e-02, 8.94e+01, 3.12e+00, 7.38e+00, 9.22e+02, 2.39e+06, 8.34e+04, 1.97e+05
2.00e+01, 2.93e+06, 2.40e+02, 4.66e+05, 6.31e+07, 1.82e-02, 9.11e+01, 2.62e+00, 6.27e+00, 5.34e+02, 2.67e+06, 7.67e+04, 1.84e+05
2.60e+01, 3.09e+06, 8.00e+02, 4.14e+06, 2.09e+08, 1.54e-01, 8.56e+01, 5.56e+00, 8.65e+00, 4.77e+03, 2.65e+06, 1.72e+05, 2.67e+05
3.20e+01, 3.47e+06, 7.20e+03, 1.71e+07, 6.99e+08, 7.30e-01, 8.41e+01, 7.39e+00, 7.79e+00, 2.53e+04, 2.92e+06, 2.56e+05, 2.70e+05
3.80e+01, 3.64e+06, 1.60e+04, 2.63e+07, 8.26e+08, 1.71e-01, 9.17e+01, 1.71e+00, 6.44e+00, 6.21e+03, 3.34e+06, 6.21e+04, 2.35e+05
4.50e+01, 3.62e+06, 2.00e+04, 8.69e+07, 2.32e+09, 3.84e-01, 9.53e+01, 1.20e+00, 3.12e+00, 1.39e+04, 3.45e+06, 4.33e+04, 1.13e+05
5.30e+01, 3.61e+06, 3.60e+04, 1.94e+08, 4.55e+09, 3.37e-01, 9.32e+01, 1.01e+00, 5.49e+00, 1.22e+04, 3.36e+06, 3.65e+04, 1.98e+05
6.10e+01, 3.61e+06, 1.60e+05, 3.78e+08, 1.05e+10, 2.70e-01, 8.88e+01, 2.58e+00, 8.34e+00, 9.75e+03, 3.21e+06, 9.32e+04, 3.01e+05
