[Name]
ExLev_MOIMODIPscatter_MOI3

[Notes]
Results of MOI/MODIP experiments, MOI 3

[Components]
time, Cviab, VOnlyRel, VTot, DTot, pT, pI, pTa, pIa, T, I, Ta, Ia

[Componentnotes]


[Values]
0.00e+00, 2.33e+06, NaN, NaN, NaN, 5.74e+00, 8.60e+01, 5.10e+00, 3.18e+00, 1.34e+05, 2.00e+06, 1.19e+05, 7.40e+04
2.00e+00, 1.88e+06, 3.20e+03, 6.12e+05, NaN, 1.56e+00, 9.16e+01, 2.85e+00, 4.02e+00, 2.94e+04, 1.72e+06, 5.36e+04, 7.56e+04
3.00e+00, NaN, 1.20e+04, 1.35e+06, NaN, 5.22e-01, 9.57e+01, 1.11e+00, 2.64e+00, NaN, NaN, NaN, NaN
4.50e+00, NaN, 8.40e+04, 1.51e+07, NaN, 3.00e-02, 9.37e+01, 1.14e+00, 5.16e+00, NaN, NaN, NaN, NaN
6.00e+00, 2.05e+06, 2.80e+07, 1.77e+09, NaN, 3.29e-02, 8.97e+01, 1.20e+00, 9.03e+00, 6.75e+02, 1.84e+06, 2.46e+04, 1.85e+05
9.00e+00, 1.93e+06, 1.60e+08, 1.14e+10, NaN, 8.54e-02, 7.06e+01, 1.21e+00, 2.81e+01, 1.65e+03, 1.36e+06, 2.34e+04, 5.43e+05
1.20e+01, 1.84e+06, 1.60e+08, 1.32e+10, NaN, 6.15e-02, 4.62e+01, 2.15e+00, 5.16e+01, 1.13e+03, 8.49e+05, 3.96e+04, 9.50e+05
1.60e+01, 1.17e+06, 8.00e+07, 7.88e+10, NaN, 1.43e-01, 1.76e+01, 3.20e+00, 7.91e+01, 1.67e+03, 2.06e+05, 3.74e+04, 9.25e+05
2.00e+01, 5.10e+05, 8.00e+07, 8.96e+10, NaN, 2.24e-01, 7.49e+00, 3.27e+00, 8.90e+01, 1.14e+03, 3.82e+04, 1.67e+04, 4.54e+05
2.60e+01, 1.20e+05, 8.00e+06, 6.93e+10, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
3.20e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
