[Name]
ExLev_MOIMODIPscatter_MOI30_MODIP-3

[Notes]
Results of MOI/MODIP experiments, MOI 30, MODIP 10^-3

[Components]
time, Cviab, VOnlyRel, VTot, DTot, pT, pI, pTa, pIa, T, I, Ta, Ia

[Componentnotes]


[Values]
0.00e+00, 2.07e+06, NaN, NaN, NaN, 1.24e+00, 9.28e+01, 2.66e+00, 3.29e+00, 2.56e+04, 1.92e+06, 5.50e+04, 6.80e+04
2.00e+00, 1.90e+06, 1.60e+05, 2.80e+07, NaN, 6.30e-01, 9.39e+01, 2.26e+00, 3.22e+00, 1.20e+04, 1.78e+06, 4.29e+04, 6.11e+04
3.00e+00, NaN, 3.20e+05, 4.19e+07, NaN, 9.78e-02, 9.43e+01, 5.06e-01, 5.06e+00, NaN, NaN, NaN, NaN
4.50e+00, NaN, 3.20e+07, 7.89e+09, 5.62e+06, 3.15e-02, 8.93e+01, 3.47e-01, 1.03e+01, NaN, NaN, NaN, NaN
6.00e+00, 1.96e+06, 8.00e+07, 1.78e+10, 1.14e+07, 1.79e-01, 8.25e+01, 4.24e-01, 1.69e+01, 3.51e+03, 1.62e+06, 8.30e+03, 3.31e+05
9.00e+00, 1.81e+06, 2.00e+08, 2.86e+10, 1.80e+07, 5.51e-02, 5.80e+01, 4.41e-01, 4.14e+01, 9.98e+02, 1.05e+06, 7.98e+03, 7.50e+05
1.20e+01, 1.56e+06, 2.00e+08, 3.88e+10, 2.57e+07, 2.03e-02, 3.13e+01, 2.64e-01, 6.84e+01, 3.16e+02, 4.88e+05, 4.11e+03, 1.07e+06
1.60e+01, 9.80e+05, 8.00e+07, 4.55e+10, 4.24e+07, 0.00e+00, 8.24e+00, 8.20e-01, 9.09e+01, 0.00e+00, 8.08e+04, 8.04e+03, 8.91e+05
2.00e+01, 3.10e+05, 4.40e+07, 4.81e+10, 4.44e+07, 0.00e+00, 7.91e+00, 1.19e-01, 9.20e+01, 0.00e+00, 2.45e+04, 3.68e+02, 2.85e+05
2.60e+01, 7.20e+04, 8.00e+06, 3.94e+10, 3.40e+07, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
3.20e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
