[Name]
ExLev_MOIMODIPscatter_MOI30_MODIP30

[Notes]
Results of MOI/MODIP experiments, MOI 30, MODIP 30

[Components]
time, Cviab, VOnlyRel, VTot, DTot, pT, pI, pTa, pIa, T, I, Ta, Ia

[Componentnotes]


[Values]
0.00e+00, 2.28e+06, NaN, NaN, NaN, 4.95e-01, 9.09e+01, 1.24e+00, 7.35e+00, 1.13e+04, 2.07e+06, 2.82e+04, 1.68e+05
2.00e+00, 1.86e+06, 1.60e+05, 3.21e+07, 7.20e+07, 2.15e-01, 9.47e+01, 7.76e-01, 4.33e+00, 3.99e+03, 1.76e+06, 1.44e+04, 8.05e+04
3.00e+00, NaN, 1.60e+05, 5.25e+07, 9.08e+07, 2.63e-01, 9.33e+01, 3.78e-01, 6.07e+00, NaN, NaN, NaN, NaN
4.50e+00, NaN, 1.20e+07, 1.65e+09, 4.83e+09, 1.24e-01, 9.10e+01, 5.11e-01, 8.39e+00, NaN, NaN, NaN, NaN
6.00e+00, 2.06e+06, 1.20e+07, 5.55e+09, 1.44e+10, 3.23e-02, 8.23e+01, 4.35e-01, 1.73e+01, 6.64e+02, 1.69e+06, 8.97e+03, 3.56e+05
9.00e+00, 1.93e+06, 1.60e+07, 1.44e+10, 3.88e+10, 6.90e-02, 6.33e+01, 2.93e-01, 3.64e+01, 1.33e+03, 1.22e+06, 5.66e+03, 7.02e+05
1.20e+01, 1.79e+06, 3.60e+07, 2.12e+10, 5.47e+10, 1.95e-02, 3.98e+01, 3.71e-01, 5.98e+01, 3.49e+02, 7.12e+05, 6.63e+03, 1.07e+06
1.60e+01, 1.18e+06, 3.20e+07, 2.79e+10, 6.61e+10, 0.00e+00, 1.72e+01, 2.14e-01, 8.26e+01, 0.00e+00, 2.03e+05, 2.52e+03, 9.74e+05
2.00e+01, 4.90e+05, 1.20e+07, 3.53e+10, 8.46e+10, 0.00e+00, 7.47e+00, 5.21e-01, 9.20e+01, 0.00e+00, 3.66e+04, 2.55e+03, 4.51e+05
2.60e+01, 9.00e+04, 3.60e+06, 2.68e+10, 8.53e+10, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
3.20e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
