[Name]
InLev_MOIMODIPscatter_MOI-3

[Notes]
Results of MOI/MODIP experiments, MOI 10^-3

[Components]
time, RvSeg1, RvSeg9, RvSeg5, Rm1, Rm9, Rm5

[Componentnotes]


[Values]
0.00e+00, 1.18e+00, NaN, 1.49e+00, 5.32e-01, NaN, NaN
2.00e+00, 1.13e-01, NaN, 9.13e-02, NaN, NaN, NaN
3.00e+00, 4.93e-01, NaN, 5.78e-01, NaN, NaN, NaN
4.50e+00, 3.60e-02, NaN, 9.57e-02, 6.46e-01, NaN, 4.47e-01
6.00e+00, 2.67e-01, NaN, 2.00e+00, 1.33e+00, NaN, 3.74e+00
9.00e+00, 9.43e+01, NaN, 1.36e+02, 3.59e+01, NaN, 1.90e+02
1.20e+01, 9.79e+02, NaN, 2.01e+03, 4.82e+02, NaN, 3.22e+03
1.60e+01, 8.58e+04, NaN, 6.53e+04, 2.67e+03, NaN, 3.03e+04
2.00e+01, 1.35e+05, NaN, 1.37e+05, 1.29e+03, NaN, 1.84e+04
2.60e+01, 9.14e+04, NaN, 9.36e+04, 8.02e+02, NaN, 5.65e+03
3.20e+01, 8.69e+04, NaN, 8.42e+04, 6.75e+02, NaN, 4.25e+03
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN
