[Name]
InLev_MOIMODIPscatter_MOI-3_MODIP-3

[Notes]
Results of MOI/MODIP experiments, MOI 10^-3, MODIP 10^-3

[Components]
time, RvSeg1, RvSeg9, RvSeg5, Rm1, Rm9, Rm5

[Componentnotes]


[Values]
0.00e+00, 3.32e-02, 6.13e-02, 3.70e-01, 6.50e-01, NaN, NaN
2.00e+00, 2.96e-02, 1.51e-02, 3.11e-01, 6.15e-01, NaN, 2.97e-01
3.00e+00, 1.81e-02, 1.20e-02, 3.81e-01, 4.96e-01, NaN, 3.87e-01
4.50e+00, 3.62e-02, 1.88e-02, 4.00e-01, 4.80e-01, NaN, 1.07e+00
6.00e+00, 3.59e-01, 1.09e-01, 4.00e+00, 9.14e-01, NaN, 6.42e+00
9.00e+00, 2.12e+02, 2.21e+01, 2.24e+02, 2.46e+01, 7.31e+00, 2.09e+02
1.20e+01, 1.46e+03, 9.18e+01, 1.63e+03, 2.23e+02, 7.93e+01, 2.68e+03
1.60e+01, 1.24e+05, 1.83e+04, 4.93e+04, 1.30e+03, 1.04e+03, 2.93e+04
2.00e+01, 1.99e+05, 2.33e+04, 9.51e+04, 3.65e+02, 5.36e+02, 4.80e+03
2.60e+01, 8.30e+04, 1.89e+04, 1.20e+05, 2.41e+02, 3.22e+02, 5.20e+03
3.20e+01, 9.06e+04, 1.74e+04, 9.42e+04, 3.14e+02, 3.65e+02, 5.11e+03
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN
