[Name]
InLev_MOIMODIPscatter_MOI-3_MODIP3

[Notes]
Results of MOI/MODIP experiments, MOI 10^-3, MODIP 3

[Components]
time, RvSeg1, RvSeg9, RvSeg5, Rm1, Rm9, Rm5

[Componentnotes]


[Values]
0.00e+00, 1.67e-02, 9.73e+01, 2.27e+02, NaN, 1.97e+00, 1.08e+00
2.00e+00, 5.29e-02, 6.03e+01, 2.96e+02, 4.13e-01, 2.73e+02, 4.98e+02
3.00e+00, 2.26e-02, 5.45e+01, 2.65e+02, NaN, 4.77e+02, 7.56e+02
4.50e+00, 8.43e-02, 4.78e+01, 2.17e+02, 4.19e-01, 5.65e+02, 7.99e+02
6.00e+00, 6.38e-01, 1.18e+02, 3.33e+02, 5.83e-01, 7.80e+02, 1.13e+03
9.00e+00, 2.45e+00, 1.08e+02, 2.89e+02, 7.12e-01, 1.05e+03, 1.14e+03
1.20e+01, 6.43e+00, 2.40e+02, 3.23e+02, 7.64e-01, 1.36e+03, 1.21e+03
1.60e+01, 1.22e+01, 4.29e+02, 2.55e+02, 9.23e-01, 1.41e+03, 1.02e+03
2.00e+01, 2.75e+01, 6.81e+02, 2.01e+02, 1.70e+00, 2.08e+03, 1.27e+03
2.60e+01, 3.28e+01, 5.04e+02, 3.37e+02, 2.09e+00, 2.55e+03, 1.08e+03
3.20e+01, 5.61e+01, 1.50e+03, 4.02e+02, 2.44e+00, 2.74e+03, 1.00e+03
3.80e+01, 1.02e+02, 2.28e+03, 6.73e+02, 4.87e+00, 3.29e+03, 1.23e+03
4.50e+01, 2.43e+02, 4.38e+03, 1.25e+03, 1.04e+01, 4.55e+03, 1.68e+03
5.30e+01, 5.39e+02, 1.05e+04, 2.10e+03, 3.85e+01, 8.64e+03, 3.13e+03
6.10e+01, 1.42e+03, 2.36e+04, 3.48e+03, 1.26e+02, 1.94e+04, 7.15e+03
