[Name]
InLev_MOIMODIPscatter_MOI3

[Notes]
Results of MOI/MODIP experiments, MOI 3

[Components]
time, RvSeg1, RvSeg9, RvSeg5, Rm1, Rm9, Rm5

[Componentnotes]


[Values]
0.00e+00, 8.88e+01, NaN, 1.28e+02, 5.35e-01, NaN, NaN
2.00e+00, 7.71e+01, NaN, 1.60e+02, 8.93e+01, NaN, 1.72e+02
3.00e+00, 1.32e+02, NaN, 1.86e+03, 2.68e+02, NaN, 4.54e+03
4.50e+00, 1.00e+04, NaN, 2.01e+04, 3.23e+03, NaN, 3.63e+04
6.00e+00, 4.86e+04, NaN, 5.68e+04, 2.42e+03, NaN, 3.68e+04
9.00e+00, 8.10e+04, NaN, 6.98e+04, 7.46e+02, NaN, 2.00e+04
1.20e+01, 1.27e+05, NaN, 7.28e+04, 5.59e+02, NaN, 1.42e+04
1.60e+01, 1.24e+05, NaN, 8.60e+04, 7.49e+02, NaN, 4.85e+03
2.00e+01, 1.12e+05, NaN, 6.60e+04, 1.34e+03, NaN, 5.05e+03
2.60e+01, NaN, NaN, NaN, NaN, NaN, NaN
3.20e+01, NaN, NaN, NaN, NaN, NaN, NaN
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN
