[Name]
InLev_MOIMODIPscatter_MOI30_MODIP-3

[Notes]
Results of MOI/MODIP experiments, MOI 30, MODIP 10^-3

[Components]
time, RvSeg1, RvSeg9, RvSeg5, Rm1, Rm9, Rm5

[Componentnotes]


[Values]
0.00e+00, 1.05e+03, NaN, 1.22e+03, 6.72e-01, NaN, 2.46e+00
2.00e+00, 4.15e+02, NaN, 1.03e+03, 5.57e+02, NaN, 3.75e+03
3.00e+00, 9.30e+03, 4.46e-01, 2.78e+04, 2.33e+03, NaN, 5.56e+04
4.50e+00, 4.23e+04, 1.80e+00, 7.45e+04, 1.68e+03, NaN, 4.06e+04
6.00e+00, 7.06e+04, 3.45e+00, 9.72e+04, 1.22e+03, NaN, 3.52e+04
9.00e+00, 8.62e+04, 4.74e+00, 1.28e+05, 4.61e+02, NaN, 1.58e+04
1.20e+01, 1.25e+05, 8.73e+00, 1.80e+05, 5.84e+02, NaN, 8.91e+03
1.60e+01, 7.47e+04, 5.01e+00, 1.33e+05, 5.74e+02, NaN, 4.51e+03
2.00e+01, 7.65e+04, 5.48e+00, 1.04e+05, 1.15e+03, NaN, 5.33e+03
2.60e+01, NaN, NaN, NaN, NaN, NaN, NaN
3.20e+01, NaN, NaN, NaN, NaN, NaN, NaN
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN
